更新时间,#genre#
CCTV-11,http://106.118.70.49:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-12,http://123.113.187.204:8000/rtp/239.3.1.64:8124$组播源
CCTV-12,http://222.129.139.229:8888/rtp/239.3.1.64:8124$组播源
CCTV-12,http://221.224.4.170:1111/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://113.140.86.162:8009/hls/507/index.m3u8$订阅源
CCTV-12,http://112.46.85.60:8009/hls/507/index.m3u8$订阅源
CCTV-12,http://124.231.215.118:9999/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://125.107.221.206:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-13,http://222.129.139.229:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://221.224.4.170:1111/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://124.231.215.118:9999/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://125.107.221.206:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://222.218.158.165:8181/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://106.118.70.49:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-14,http://123.113.187.204:8000/rtp/239.3.1.65:8132$组播源
CCTV-14,http://221.224.4.170:1111/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://124.231.215.118:9999/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://125.107.221.206:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://222.218.158.165:8181/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://106.118.70.49:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-15,http://123.113.187.204:8000/rtp/239.3.1.153:8136$组播源
CCTV-15,http://221.224.4.170:1111/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://124.231.215.118:9999/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://125.107.221.206:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://222.218.158.165:8181/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://123.113.187.204:8000/udp/239.3.1.153:8136$订阅源
CCTV-16,http://124.231.215.118:9999/tsfile/live/1084_1.m3u8$订阅源
CCTV-16,http://222.218.158.165:8181/tsfile/live/1021_1.m3u8$订阅源
CCTV-16,http://123.113.187.204:8000/udp/239.3.1.183:8001$订阅源
CCTV-16,http://123.113.187.204:8000/udp/239.3.1.184:8001$订阅源
CCTV-16,http://123.117.237.15:8680/udp/239.3.1.183:8001$订阅源
CCTV-17,http://124.231.215.118:9999/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://222.218.158.165:8181/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://123.113.187.204:8000/udp/239.3.1.151:8144$订阅源
CCTV-17,http://60.10.106.114:555/udp/239.253.93.150:6318$订阅源
CCTV-17,http://123.117.237.15:8680/udp/239.3.1.151:8144$订阅源
CETV4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源

💰央视付费频道,#genre#
